feedback,issue,distance,,4/150,,,3/50
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Unable to use jimdb after executing 'mach run --debug',0.73056245,0,,"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Unable to use jimdb after executing 'mach run --debug',0
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.7305623,0,,"I enjoy using it when it is working, it freezes and crashes quite often",After a crash Aurora got into a state where it would crash when loading about:crashes,1
"App stopped working just a couple days ago and keeps crashing when opened. Tried everything - cleared cache, force stopping, and reinstalling. Nothing has worked.",There is no spacing around the video control buttons,0.70701367,0,,"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to use jimdb after executing 'mach run --debug',0
"I enjoy using it when it is working, it freezes and crashes quite often",After a crash Aurora got into a state where it would crash when loading about:crashes,0.63615376,1,,Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"I enjoy using it when it is working, it freezes and crashes quite often",Beeping noise keeps sounding even after closing the tab,0.62160814,0,,"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Crash when selecting Pair a device in Sync (HoneyComb) (android.content.ActivityNotFoundException: Unable to find explicit activity class {org.mozilla.gecko/org.mozilla.gecko.sync.setup.activities.SetupSyncActivity}),0
"I enjoy using it when it is working, it freezes and crashes quite often",about:home - clicking on a thumbnail doesn't work until the awesomebar was opened and closed,0.62160796,0,,Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Unable to use jimdb after executing 'mach run --debug',0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Unable to use jimdb after executing 'mach run --debug',0.7483084,0,,Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.74830836,0,,"Used to love it but after my s10 updated to the latest Android, gifs in this app no longer loop just fyi. Please fix.",mwc-demo : Runfield will zoom in if it is in a background tab and the phone is rotated.,0
"There is no Home button and Menu buttons anywhere in the opened web pages. Also, pulling down page is not reloading the web page.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0.7365205,0,,The history tab does not show all history. Previous tabs that we left open suddenly disappears when we close and reopen Firefox.,Unable to use jimdb after executing 'mach run --debug',0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,"Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0.6927747,0,,"Worst browser i have ever seen. So poorly laid out. No home, favorites, bookmarks, or anything that every browser needs. Dark mode doesn't even work. Go shoot yourselves, devs!","Robocop: intermittent failures with the pixel tests in testAxisLocking, test_bug720538, testOverscroll, testLoad, testPanCorrectness (and others?) (Color rgba(255,255,255,255) not close enough to expected rgb(0,0,0))",0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,There is no spacing around the video control buttons,0.69277465,0,,"Firefox great as always in personal control, but horrible slow in the android departure.",Tab tray scrolling performance gradually degrades as you scroll between a decent amount of tabs - OOM @ createBitmap(Bitmap.java:605),0
Had hard time getting hooked up. Still can't get app to show up on my personal phone page.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.6427081,0,,"Guys I like you but your app is bad , half of the time it won't load pages. Many times when I needed the app to work the most it let me down and made me reinstall chrome so I can do my work.","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Crash when selecting Pair a device in Sync (HoneyComb) (android.content.ActivityNotFoundException: Unable to find explicit activity class {org.mozilla.gecko/org.mozilla.gecko.sync.setup.activities.SetupSyncActivity}),0.76909447,0,,"When I type into the search box's it type's random words on it's own even when I delete the random words it adds words in, it's not my prediction keyboard that's messing up it only happens on Firefox. Also can't arrange your pinned top sites in the order you want.",Make sure BACK always takes you up a folder level in the bookmarks UI (and make that the only way to go up a folder level),0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication","Uncaught Exception @ Clear Site Settings - nsIURI.host - (NS_ERROR_FAILURE)""  location: ""JS frame :: chrome://browser/content/browser.js :: observe :: line 3645",0.750292,0,,Good browser but it is not possible tochange default download folder to external sd. Too bad.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
"Check your ""permissions"" folks. This is not the browser it used to be. Firefox Can (among other things: -Read your Web Bookmarks and History -Find accounts on the device -Add or remove accounts -Approximate location -Precise location -Modify or delete the contents of your SD card -Take pictures and videos -Record Audio -Connect and Disconnect from WiFi -Change audio settings -Toggle sync on and off -Use accounts on the Device -Create accounts and set passwords -Control near field communication",Introduce SnackbarBuilder or similar in palce of showSnackbar* methods,0.75029194,0,,Browser doesn't work on home Depot website.,Extend testBrowserProvider to test new UrlAnnotations methods (FeedService),0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Unable to use jimdb after executing 'mach run --debug',0.6736666,0,,"Freezes cannot close application pressing back button. Sometimes, after typing a URL it won't go forward it will stuck to the previous page jsut showing the url. Seriously can't browse any thing, even normal search wont work","MAPLE: Can receive a page full of checkerboarding on a page with elements that have a hash value <a href=""#example"">, when preforming a change of orientation, or back button",1
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,Only a set of bookmarks will show when upgrading from XUL to Birch; Bookmarks persist after uninstall and delete data.,0.67366654,0,,Bugs . Bad performance. Hangs when loading certain pages while other browsers loads perfectly fine. Such a disappointment.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0
Latest update started consuming over 80% battery. Had to uninstall to even charge the phone!,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.65296805,0,,"A real pain in the computer to try to sync the phone to the laptop AS REQUIRED. !! Both of them browse, but cannot find each other, which I don't really need anyhow !!!","Amazon modifies and re-signs apk after uploading [was ""Cannot install Firefox from Amazon appstore if Firefox Beta already exists on device""]",0
Downloads never resumes when one lost his network work connection. Other than that I got no problem with your application. Please fix this then I may become tempted to change my rating for this app. Otherwise am uninstalling it.,android.database.StaleDataException: Attempting to access a closed CursorWindow.Most probable cause: cursor is deactivated prior to calling this method.,0.72929126,0,,"It is now missing the undo closed tab option, on top of not opening pages for me. All it shows is 1 page when I go to any opened tab or saved webpage. Even after I restarted my phone",Unable to use jimdb after executing 'mach run --debug',0
