feedback,issue,distance,76/150,,,,,27/50,,feedback,issue,distance,55/100,,,,result,distance,Appproach,,,Matching Bug report,Sentence MiniLM nouns & verbs,Matching Bug report,Sentence MiniLM,,,result,NEXTCLLOUD,FIREFOX,
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Error when trying to connect Nextcloud Android app,0.59012675,1,,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Error when trying to connect Nextcloud Android app,1,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Error when trying to connect Nextcloud Android app,0.59012675,1,,,,TRUE,0.69560814,Sentence MiniLM nouns & verbs,,,TRUE,0.59012675,TRUE,0.69560814,,,TRUE,0.69560814,0.7040476,TRUE
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Can not use nextcloud,0.5435673,1,,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,1,,I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,Can not use nextcloud,0.5435673,1,,,,TRUE,0.6765704,Sentence MiniLM nouns & verbs,,,TRUE,0.5435673,TRUE,0.6765704,,,TRUE,0.6765704,0.69275475,TRUE
I have a nextcloud server and the way I access my server is via OpenVPN. The problem now is the nextcloud native app doesn't work through vpn. It is an odd behavior. I highly recommend to use owncloud app instead.,nextcloud android client can't login but android webdev clients do,0.5391481,0,3,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",nextcloud Android app crashing when sync a big folder (10Gb),0,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,0.6812566,1,,,,TRUE,0.65061235,Sentence MiniLM nouns & verbs,,,TRUE,0.6812566,TRUE,0.65061235,,,TRUE,0.74609494,0.5810501,TRUE
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes every time I try to create a new folder,0.6812566,1,,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud Android app Crashes after logging in,1,,"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",Android app crash when syncing folder,0.65882087,0,,,,TRUE,0.69350505,Sentence MiniLM nouns & verbs,,,TRUE,0.62538844,TRUE,0.74609494,,,TRUE,0.68163466,0.40998003,TRUE
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",Android app crash when syncing folder,0.65882087,0,,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Login failed on the app ,1,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",nextcloud Android app crashing when sync a big folder (10Gb),0.5947154,0,,,,TRUE,0.56185377,Sentence MiniLM nouns & verbs,,,TRUE,0.6738831,TRUE,0.68163466,,,TRUE,0.78567517,0.60814226,FALSE
"Everything works great until I back out of a folder. Then, when I try to open a new folder, the app just crashes on me. Running an LG G4.",App crashes when opening folder that contains subfolder with many files,0.62538844,1,4,,App keep crashing when i try to make changes im auto upload. Hope there will be a quick update to fix it.,app crashes when uploading a bunch of pics,0,,"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Nextcloud does not sync some files over mobile network after allowing to sync over mobile network,0.5569469,0,,,,TRUE,0.78567517,Sentence MiniLM nouns & verbs,,,TRUE,0.63112897,TRUE,0.8338283,,,TRUE,0.7785597,0.5626291,TRUE
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",nextcloud Android app crashing when sync a big folder (10Gb),0.5947154,0,,,With the latest update to the app auto upload fails to work.,"""Auto upload"" works after start app manualy",0,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud Android app Crashes after logging in,0.6738831,1,,,,TRUE,0.7785597,Sentence MiniLM nouns & verbs,,,TRUE,0.6151635,TRUE,0.8102795,,,TRUE,0.77412105,0.5577283,FALSE
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",Nextcloud does not sync some files over mobile network after allowing to sync over mobile network,0.5569469,0,,,Absolutely destroys battery life. Phone always lasts all day well past midnight. Had it installed for 3 days and will now go from fully charged at 7am to dead at 5pm with hardly any phone use and no phone calls. Android reporting app responsible for 19% of battery drain. Can't keep it installed like that.,Massive battery drainage and mobile data use after first usage,1,,"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud app crash,0.63112897,1,,,,TRUE,0.77412105,Sentence MiniLM nouns & verbs,,,TRUE,0.6737165,TRUE,0.79353344,,,TRUE,0.74116623,0.5815648,FALSE
"Not up to the great standard of the web app. Sync function needs a lot of improvement, when a folder is synced and I add a new file in the app, this file is not synced. I then have to manually download the file which removes the point of syncing in the first place. Also if I add a new doc, removing the extension .odt and naming it example.doc it saves as example.doc.odt meaning I cant make blank word files, I have to make one in the office app and share it to next cloud.",sync crashes if file is added to media dir by other app,0.53777075,0,5,,Stopped working all of a sudden. Asking for pattern or fingerprint. Neither my real device pattern nor my fingerprints are working. Fresh install. Only added one account. Did not change any settings. All prior versions worked. Cannot send any debug data as the app does not let me start. Please fix this.,Fingerprint Lock Not working on Xiaomi Mi 8 devices,1,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Login failed on the app ,0.6737165,1,,,,TRUE,0.74116623,Sentence MiniLM nouns & verbs,,,TRUE,0.58317524,TRUE,0.7545074,,,TRUE,0.68603206,0.5655724,FALSE
"I love nextcloud. But unfortunately the app keeps crashing, when I try to setup a new account and try to enter a username.  Edit: It works with the token though. When i try to enter the username there it works. Edit: The Problem probably was the App Dashlane. Had form difficulties with other apps and after removing dashlabe it works great!!",Nextcloud Android app Crashes after logging in,0.6738831,1,,,"I just started using this app with a home server and I'm having the issue 
where the log in screen keeps popping up. Interestingly, it's not logging 
me out. I can hit back, quickly interact with my files, and then the login 
comes back up. If I enter the settings menu, the login menu won't come up, 
but as soon as I leave settings it starts happening again.",Repeatedly logging out,1,,"App works only few hours, next - problems with login. Can't login, must reinstall app again, and again!😠",Fix logging in beta app,0.58317524,1,,,,TRUE,0.68603206,Sentence MiniLM nouns & verbs,,,TRUE,0.5736331,TRUE,0.56447124,,,TRUE,0.66568005,0.5513278,FALSE
